Day,High,Low,Precipitation,Snow
June 8,78.0,55.0,0.0,0.0
June 9,75.0,59.0,0.0,0.0
June 10,67.0,55.0,0.0,0.0
June 11,72.0,50.0,0.0,0.0
June 12,80.0,53.0,0.0,0.0
June 13,87.0,57.0,0.0,0.0
June 14,82.0,64.0,0.26,0.0
June 15,80.0,56.0,0.0,0.0
June 16,89.0,56.0,0.0,0.0
June 17,94.0,69.0,0.32,0.0
June 18,94.0,69.0,0.0,0.0
June 19,89.0,73.0,0.0,0.0
June 20,92.0,72.0,0.0,0.0
June 21,94.0,71.0,0.1,0.0
June 22,94.0,73.0,0.0,0.0
June 23,86.0,72.0,0.32,0.0
June 24,82.0,64.0,0.0,0.0
June 25,84.0,59.0,0.0,0.0
June 26,85.0,67.0,0.72,0.0
June 27,80.0,64.0,0.0,0.0
June 28,88.0,59.0,0.0,0.0
June 29,85.0,73.0,0.25,0.0
June 30,86.0,61.0,0.18,0.0
July 1,78.0,54.0,0.0,0.0
July 2,86.0,57.0,0.0,0.0
July 3,91.0,69.0,0.0,0.0
July 4,89.0,73.0,0.02,0.0
July 5,87.0,74.0,0.0,0.0
July 6,86.0,70.0,0.11,0.0
July 7,89.0,65.0,0.0,0.0
July 8,92.0,68.0,0.0,0.0
July 9,92.0,67.0,0.0,0.0
July 10,92.0,67.0,0.0,0.0
July 11,79.0,66.0,0.0,0.0
July 12,91.0,61.0,0.0,0.0
July 13,94.0,69.0,0.0,0.0
July 14,93.0,69.0,0.0,0.0
July 15,93.0,69.0,0.5,0.0
July 16,93.0,71.0,0.0,0.0
July 17,85.0,70.0,0.64,0.0
July 18,81.0,65.0,0.0,0.0
July 19,84.0,57.0,0.0,0.0
July 20,88.0,65.0,0.0,0.0
July 21,85.0,61.0,0.0,0.0
July 22,75.0,68.0,0.2,0.0
July 23,84.0,65.0,0.0,0.0
July 24,85.0,67.0,0.39,0.0
July 25,85.0,67.0,0.0,0.0
July 26,82.0,60.0,0.0,0.0
July 27,89.0,61.0,0.0,0.0
July 28,92.0,62.0,0.0,0.0
July 29,86.0,65.0,0.2,0.0
July 30,83.0,70.0,1.11,0.0
July 31,92.0,71.0,0.0,0.0
August 1,91.0,72.0,0.0,0.0
August 2,85.0,71.0,1.63,0.0
August 3,82.0,70.0,0.48,0.0
August 4,87.0,69.0,0.0,0.0
August 5,90.0,66.0,0.0,0.0
August 6,91.0,69.0,0.81,0.0
August 7,78.0,68.0,0.06,0.0
August 8,85.0,70.0,0.01,0.0
August 9,84.0,69.0,0.0,0.0
August 10,79.0,62.0,0.0,0.0
August 11,77.0,56.0,0.0,0.0
August 12,78.0,58.0,0.0,0.0
August 13,81.0,55.0,0.0,0.0
August 14,83.0,59.0,0.0,0.0
August 15,86.0,59.0,0.0,0.0
August 16,83.0,68.0,0.0,0.0
August 17,85.0,67.0,0.26,0.0
August 18,81.0,67.0,0.06,0.0
August 19,70.0,62.0,0.0,0.0
August 20,69.0,54.0,0.0,0.0
August 21,72.0,51.0,0.0,0.0
August 22,76.0,49.0,0.0,0.0
August 23,82.0,52.0,0.0,0.0
August 24,87.0,55.0,0.0,0.0
August 25,87.0,60.0,0.0,0.0
August 26,91.0,69.0,0.0,0.0
August 27,94.0,69.0,0.02,0.0
August 28,93.0,72.0,0.0,0.0
August 29,92.0,74.0,0.76,0.0
August 30,94.0,69.0,0.39,0.0
August 31,83.0,70.0,0.64,0.0
September 1,87.0,63.0,0.1,0.0
September 2,73.0,57.0,0.0,0.0
September 3,75.0,50.0,0.0,0.0
September 4,79.0,52.0,0.0,0.0
September 5,82.0,54.0,0.0,0.0
September 6,86.0,56.0,0.24,0.0
September 7,69.0,51.0,0.11,0.0
September 8,69.0,45.0,0.0,0.0
September 9,75.0,49.0,0.0,0.0
September 10,82.0,57.0,0.0,0.0
September 11,85.0,56.0,0.0,0.0
September 12,84.0,59.0,0.0,0.0
September 13,83.0,59.0,0.0,0.0
September 14,86.0,61.0,0.0,0.0
September 15,85.0,61.0,0.0,0.0
September 16,80.0,59.0,0.0,0.0
